26c71016-488c-4e95-9b52-d27843efcbdb,Homer,MacGow,F,3754.0
04ff1913-5e53-4bcd-80e5-9e8d8e45836a,Sukey,Rattenbury,F,2087.0
f7e01608-a9fa-4395-b3a4-29d213274190,Janice,Farnes,F,3040.0
f3d84b94-ba8b-4a5a-92f4-4c380d9307bf,Richie,McIleen,M,2101.0
c18d1e8d-5ba6-4c9f-84a0-6c9684a47e87,Ardith,Sworder,F,3312.0
ba368fb0-5f3e-4cfb-a3df-3839d1a79117,Ki,Probbin,M,2524.0
25612493-bc20-4868-bb3f-e285897b8f5f,Elroy,Currell,M,3134.0
3416e625-f463-43d8-b903-b777a2d9f4db,Wini,Claesens,M,3656.0
24fcf8e4-3a78-4a68-a3a9-9a94f30b3094,Amalee,Urlich,M,3519.0
c0aec3a8-46f2-46d1-9910-e7868f7b1276,Alyda,MacGow,F,3634.0
5557f832-5a39-4fb6-97c9-9a0bea5a41b2,Alfredo,Glede,F,2781.0
9990c398-f927-46d3-9953-b483d7019363,Shela,Coton,M,3004.0
a7b03d86-87ae-4c6b-b329-edb784dce0be,Wini,Haney`,M,3886.0
fe8ec760-8796-47a7-9e29-4298a1cd2da7,Aigneis,Sedgman,F,3079.0
60eff9ec-f842-4a0d-9523-58644ff13efe,Bentlee,Glede,M,3048.0
b2888126-5617-430a-8981-37ff1ea17e4e,Elisa,Byllam,F,3905.0
10d5838d-a999-42a6-95a1-4914f6b2d2a0,Drusy,Duffield,M,2872.0
e18a5a58-b455-4feb-b99e-cf6fc3266aca,Drusy,Jagielski,F,3618.0
16cfffb6-8819-4ea0-9c40-3f41027ea1a9,Bentlee,Wykey,M,3978.0
1b6d5555-193f-43db-ba31-c44180c5fbcd,Franzen,Riddiough,M,2198.0
5fab8bc2-580d-4b8f-85d1-41499a344633,Elroy,Tomasik,M,2249.0
2ceb1733-65bd-4945-82c4-1084ad788f2e,Donn,Nise,F,2415.0
f5f3b4f7-9d79-443b-b1fd-94d804dbb810,Alejoa,Duffield,F,2445.0
9648370c-5bb7-499f-bae9-880f07ce3841,Kelila,Rebbeck,M,2965.0
05f589d8-204a-402f-8960-b972124eb07c,Milka,Brunt,M,2505.0
ebb60e6b-34de-4ae8-8f28-2a6858efedf3,Phyllis,Harbison,M,2736.0
aaa74e02-8629-4f9e-ad98-522f68a284ca,Richie,Cambell,M,3248.0
702ee954-7807-4e76-8276-4aa8b5e91db3,Bryon,Kornel,M,2834.0
78aa66fe-23ca-4c80-85bb-e33571e16fd4,Berk,Bryde,M,3785.0
43504375-b69d-4215-99f8-25f9b333a020,Donn,Coton,M,2667.0
41b1082e-e5f0-492d-bae0-84ae83ba8be1,Lucais,Waltering,F,2721.0
7ec82d35-b027-4ce1-a85a-dd725408130a,Devlin,Einchcombe,F,3135.0
